	category	question
1089	who	who
1379	who	who
1324	who	who
91	who	what
814	what	what
764	what	what
493	affirmation	unknown
669	who	unknown
316	what	what
1181	who	who
1090	who	who
1328	who	who
342	unknown	unknown
1466	who	affirmation
1207	what	when
588	what	what
924	who	what
819	what	what
196	who	what
151	what	what
160	what	what
156	affirmation	what
1008	what	when
39	what	what
1301	who	who
127	who	what
790	unknown	unknown
117	unknown	unknown
198	what	what
1393	what	affirmation
653	what	what
742	who	what
204	unknown	what
657	affirmation	unknown
59	what	what
1305	who	who
660	unknown	unknown
241	affirmation	what
701	who	who
982	unknown	what
24	what	what
1273	who	who
1087	who	who
945	what	what
460	who	who
947	affirmation	what
1342	who	who
1290	who	who
142	what	what
563	affirmation	what
569	affirmation	what
874	what	unknown
1465	unknown	affirmation
540	who	unknown
1128	who	who
0	what	unknown
1250	affirmation	when
1199	who	who
1272	who	who
1439	unknown	affirmation
1278	who	who
520	affirmation	unknown
486	unknown	what
1036	who	who
726	what	what
174	affirmation	what
704	unknown	what
1408	who	affirmation
617	who	what
753	what	what
826	who	what
1442	unknown	affirmation
1373	who	who
849	what	what
1124	who	who
997	what	what
317	what	what
864	what	when
1269	who	who
331	what	what
1286	who	who
121	unknown	unknown
72	who	what
663	what	what
368	who	unknown
1399	who	affirmation
1279	who	who
1402	what	affirmation
759	what	unknown
453	affirmation	what
448	who	when
1058	who	who
455	unknown	unknown
1042	who	who
229	what	unknown
1002	unknown	affirmation
403	what	what
1453	who	affirmation
1473	what	affirmation
1355	who	who
1201	who	who
1471	who	affirmation
185	what	what
1019	who	who
829	who	who
694	what	unknown
17	who	unknown
676	what	unknown
1431	who	affirmation
1041	who	who
139	who	unknown
976	what	what
1070	who	who
868	unknown	unknown
1416	affirmation	affirmation
619	who	unknown
1004	what	when
955	affirmation	what
1080	who	who
40	who	unknown
608	what	what
535	what	what
756	affirmation	unknown
824	what	what
1265	what	when
122	what	unknown
1270	who	who
690	what	what
428	affirmation	what
300	what	what
1234	unknown	when
625	unknown	what
920	unknown	what
748	what	unknown
445	affirmation	what
1430	affirmation	affirmation
844	unknown	what
1156	who	who
822	who	unknown
1018	who	who
357	what	unknown
642	what	what
166	who	who
709	who	unknown
200	who	unknown
468	when	what
780	what	what
207	affirmation	what
735	what	what
205	what	what
1163	who	who
273	who	who
511	what	what
165	unknown	unknown
61	what	what
285	what	what
303	unknown	unknown
1480	what	affirmation
1001	affirmation	affirmation
1326	who	who
881	who	who
199	unknown	unknown
574	what	what
570	who	what
1450	who	affirmation
941	what	what
324	affirmation	unknown
109	what	unknown
959	what	what
580	unknown	what
998	who	who
1112	who	who
319	who	what
496	affirmation	unknown
1205	who	who
135	who	unknown
1267	what	when
791	what	what
1212	unknown	when
1236	what	when
456	who	what
158	unknown	what
1209	unknown	when
649	who	what
371	what	what
716	what	what
261	affirmation	what
1013	who	who
1371	who	who
419	who	what
593	what	what
1035	who	who
1065	who	who
1308	who	who
858	who	unknown
95	what	what
1092	who	who
113	what	what
167	what	what
1367	who	who
808	affirmation	what
79	what	what
417	who	what
203	what	when
87	what	what
1244	unknown	when
355	who	who
228	affirmation	when
647	who	what
395	affirmation	when
377	what	what
304	affirmation	what
1108	who	who
1400	affirmation	affirmation
1166	who	who
739	affirmation	what
31	what	what
1481	who	affirmation
214	affirmation	what
1340	who	who
680	what	what
1334	who	who
1293	who	who
256	what	what
761	affirmation	unknown
996	what	unknown
43	affirmation	unknown
287	who	who
1257	unknown	when
483	who	who
1025	who	who
1059	who	who
1368	who	who
481	who	what
389	what	what
1120	who	who
437	affirmation	what
1461	what	affirmation
610	who	who
522	what	what
789	what	what
722	affirmation	what
434	who	who
278	affirmation	what
1045	who	who
427	what	what
19	what	what
1296	who	who
845	affirmation	what
1232	what	when
1280	what	unknown
1057	who	who
462	what	what
896	what	what
567	what	unknown
362	unknown	unknown
84	when	what
6	what	what
938	affirmation	what
179	what	what
857	what	what
1061	who	who
384	what	what
1339	who	who
1049	who	who
106	unknown	unknown
1169	who	who
786	what	what
626	what	unknown
539	unknown	unknown
504	who	unknown
177	affirmation	unknown
1063	who	who
804	what	unknown
255	who	who
105	who	who
12	who	who
702	who	what
508	what	what
975	who	who
926	unknown	unknown
345	what	what
770	what	unknown
706	when	what
374	affirmation	what
280	what	unknown
543	what	what
163	what	what
1110	who	who
1307	who	who
104	unknown	unknown
861	who	who
128	what	what
1372	who	who
1214	unknown	when
218	affirmation	what
271	what	what
