	category	question
1089	who	who
1379	who	who
1324	who	who
91	affirmation	what
814	affirmation	what
764	affirmation	what
493	affirmation	unknown
669	affirmation	unknown
316	affirmation	what
1181	who	who
1090	who	who
1328	who	who
342	unknown	unknown
1466	affirmation	affirmation
1207	affirmation	when
588	unknown	what
924	affirmation	what
819	affirmation	what
196	affirmation	what
151	affirmation	what
160	what	what
156	affirmation	what
1008	unknown	when
39	affirmation	what
1301	who	who
127	unknown	what
790	unknown	unknown
117	unknown	unknown
198	affirmation	what
1393	affirmation	affirmation
653	affirmation	what
742	affirmation	what
204	affirmation	what
657	affirmation	unknown
59	affirmation	what
1305	who	who
660	unknown	unknown
241	affirmation	what
701	who	who
982	unknown	what
24	affirmation	what
1273	who	who
1087	who	who
945	affirmation	what
460	who	who
947	affirmation	what
1342	who	who
1290	who	who
142	unknown	what
563	unknown	what
569	affirmation	what
874	affirmation	unknown
1465	affirmation	affirmation
540	affirmation	unknown
1128	who	who
0	affirmation	unknown
1250	affirmation	when
1199	who	who
1272	who	who
1439	unknown	affirmation
1278	who	who
520	affirmation	unknown
486	unknown	what
1036	who	who
726	affirmation	what
174	affirmation	what
704	unknown	what
1408	unknown	affirmation
617	affirmation	what
753	unknown	what
826	who	what
1442	unknown	affirmation
1373	who	who
849	affirmation	what
1124	who	who
997	affirmation	what
317	affirmation	what
864	affirmation	when
1269	who	who
331	affirmation	what
1286	who	who
121	unknown	unknown
72	affirmation	what
663	affirmation	what
368	affirmation	unknown
1399	affirmation	affirmation
1279	who	who
1402	unknown	affirmation
759	unknown	unknown
453	unknown	what
448	affirmation	when
1058	who	who
455	affirmation	unknown
1042	who	who
229	affirmation	unknown
1002	affirmation	affirmation
403	affirmation	what
1453	unknown	affirmation
1473	unknown	affirmation
1355	who	who
1201	who	who
1471	affirmation	affirmation
185	affirmation	what
1019	who	who
829	who	who
694	affirmation	unknown
17	affirmation	unknown
676	affirmation	unknown
1431	affirmation	affirmation
1041	who	who
139	affirmation	unknown
976	unknown	what
1070	who	who
868	unknown	unknown
1416	affirmation	affirmation
619	unknown	unknown
1004	unknown	when
955	affirmation	what
1080	who	who
40	unknown	unknown
608	affirmation	what
535	unknown	what
756	affirmation	unknown
824	affirmation	what
1265	affirmation	when
122	affirmation	unknown
1270	who	who
690	what	what
428	unknown	what
300	affirmation	what
1234	unknown	when
625	unknown	what
920	unknown	what
748	affirmation	unknown
445	affirmation	what
1430	affirmation	affirmation
844	affirmation	what
1156	who	who
822	unknown	unknown
1018	who	who
357	affirmation	unknown
642	affirmation	what
166	who	who
709	affirmation	unknown
200	affirmation	unknown
468	when	what
780	unknown	what
207	affirmation	what
735	affirmation	what
205	affirmation	what
1163	who	who
273	who	who
511	affirmation	what
165	unknown	unknown
61	unknown	what
285	affirmation	what
303	unknown	unknown
1480	unknown	affirmation
1001	affirmation	affirmation
1326	who	who
881	who	who
199	unknown	unknown
574	affirmation	what
570	affirmation	what
1450	affirmation	affirmation
941	affirmation	what
324	affirmation	unknown
109	affirmation	unknown
959	affirmation	what
580	affirmation	what
998	who	who
1112	who	who
319	unknown	what
496	affirmation	unknown
1205	who	who
135	affirmation	unknown
1267	unknown	when
791	affirmation	what
1212	unknown	when
1236	affirmation	when
456	affirmation	what
158	affirmation	what
1209	unknown	when
649	unknown	what
371	affirmation	what
716	affirmation	what
261	unknown	what
1013	who	who
1371	who	who
419	affirmation	what
593	affirmation	what
1035	who	who
1065	who	who
1308	who	who
858	unknown	unknown
95	affirmation	what
1092	who	who
113	affirmation	what
167	affirmation	what
1367	who	who
808	affirmation	what
79	unknown	what
417	affirmation	what
203	affirmation	when
87	affirmation	what
1244	unknown	when
355	who	who
228	affirmation	when
647	who	what
395	affirmation	when
377	what	what
304	unknown	what
1108	who	who
1400	unknown	affirmation
1166	who	who
739	unknown	what
31	affirmation	what
1481	affirmation	affirmation
214	unknown	what
1340	who	who
680	affirmation	what
1334	who	who
1293	who	who
256	unknown	what
761	affirmation	unknown
996	affirmation	unknown
43	affirmation	unknown
287	who	who
1257	unknown	when
483	who	who
1025	who	who
1059	who	who
1368	who	who
481	affirmation	what
389	affirmation	what
1120	who	who
437	affirmation	what
1461	unknown	affirmation
610	who	who
522	affirmation	what
789	affirmation	what
722	affirmation	what
434	who	who
278	affirmation	what
1045	who	who
427	affirmation	what
19	affirmation	what
1296	who	who
845	unknown	what
1232	affirmation	when
1280	affirmation	unknown
1057	who	who
462	affirmation	what
896	what	what
567	affirmation	unknown
362	unknown	unknown
84	when	what
6	affirmation	what
938	affirmation	what
179	affirmation	what
857	affirmation	what
1061	who	who
384	affirmation	what
1339	who	who
1049	who	who
106	unknown	unknown
1169	who	who
786	when	what
626	affirmation	unknown
539	unknown	unknown
504	who	unknown
177	affirmation	unknown
1063	who	who
804	affirmation	unknown
255	who	who
105	who	who
12	who	who
702	affirmation	what
508	unknown	what
975	who	who
926	unknown	unknown
345	affirmation	what
770	affirmation	unknown
706	what	what
374	affirmation	what
280	affirmation	unknown
543	affirmation	what
163	affirmation	what
1110	who	who
1307	who	who
104	unknown	unknown
861	who	who
128	affirmation	what
1372	who	who
1214	unknown	when
218	affirmation	what
271	affirmation	what
